Nitrogen (mg),Phosphorus (mg),Potassium (mg),Temperature (C),Humidity (%),PH (3-11),label,Rainfall (mm)
16,4,37,26.671238,89.45052983,6.007501629,pomegranate,104.7693804
25,4,45,22.69176151,98.97619953,7.37789481,pomegranate,107.5660804
2,4,37,26.05657379,95.43043007,6.337493697,pomegranate,105.529185
12,4,43,21.65792247,95.64142163,7.093616177,pomegranate,109.2537734
118,4,55,27.15233373,85.04279183,6.853606868,watermelon,57.23028471
101,4,48,25.81994333,89.08719304,6.848559581,watermelon,51.19470197
109,4,53,28.52990316,94.48325495,7.087868518,watermelon,57.40847165
90,4,48,27.67528781,91.00841443,6.862111985,watermelon,41.16554802
113,4,56,28.12328401,88.64602863,6.716283325,watermelon,50.78669728
121,4,56,31.76665986,99.01617181,6.353820724,muskmelon,26.83924845
113,4,48,29.99537913,96.04723567,6.462686395,muskmelon,21.17924769
113,4,53,31.97620689,98.73897044,6.320076263,muskmelon,21.0000988
96,4,56,30.58644744,96.48677691,6.268252814,muskmelon,26.88372572
113,4,51,29.5250458,96.38730101,6.591888201,muskmelon,24.84266123
15,4,9,25.52314206,94.61048676,7.698951818,orange,103.923226
12,4,6,22.69798461,95.92116677,8.052381891,orange,112.9834361
20,4,12,22.34103685,95.48444043,6.439134492,orange,102.4550786
33,4,15,18.90203588,96.28359181,6.780914021,orange,110.6857506
41,4,32,28.99844087,98.38478943,5.71852208,coconut,150.9502632
42,4,30,30.47836049,102.6570873,5.995608155,coconut,160.389421
42,4,33,27.89501563,101.5388034,6.160604683,coconut,143.533473
39,4,35,27.60054868,98.53358149,5.952403646,coconut,152.4238712
14,5,36,24.92639065,85.19098079,5.832525853,pomegranate,104.7693804
23,5,44,21.20725375,94.26304717,7.16300467,pomegranate,107.5660804
0,5,36,24.35193812,90.88612388,6.152906502,pomegranate,105.529185
10,5,42,20.24104904,91.08706822,6.887005997,pomegranate,109.2537734
116,5,54,25.37601283,80.99313508,6.65398725,watermelon,57.23028471
99,5,47,24.13078816,84.84494575,6.649086972,watermelon,51.19470197
107,5,52,26.6634609,89.98405233,6.881425746,watermelon,57.40847165
88,5,47,25.86475496,86.67468041,6.662244646,watermelon,41.16554802
111,5,55,26.283443,84.42478917,6.520663422,watermelon,50.78669728
119,5,55,29.68846716,94.30111601,6.168757984,muskmelon,26.83924845
111,5,47,28.03306461,91.47355778,6.274452811,muskmelon,21.17924769
111,5,52,29.8843055,94.0371147,6.135996372,muskmelon,21.0000988
94,5,55,28.5854649,91.89216849,6.085682344,muskmelon,26.88372572
111,5,50,27.59350075,91.79742953,6.399891457,muskmelon,24.84266123
13,5,8,23.85340379,90.10522549,7.474710503,orange,103.923226
10,5,5,21.21306973,91.35349216,7.817846496,orange,112.9834361
